#{"t_start": 1784859815.1850283, "env_id": "None"}
r,l,t
-10.0,128,15.025146
-10.0,137,28.979806
-10.0,153,40.691751
-10.0,118,50.082591
-10.0,106,59.045145
-10.0,131,68.13679
-10.0,106,74.849458
-10.0,171,85.322407
-10.0,164,94.835291
-10.0,114,101.344482
-10.0,121,108.311298
-10.0,96,113.859214
-10.0,112,120.243543
-10.0,118,127.163765
-10.0,108,133.343067
-10.0,144,141.75997
-10.0,96,147.785489
-10.0,109,154.109353
-10.0,105,160.159904
-10.0,117,167.090336
-10.0,107,173.419459
-10.0,113,180.086448
-10.0,102,186.043908
-10.0,125,193.416665
-10.0,102,199.360926
-10.0,133,208.044553
-10.0,116,214.869766
-10.0,134,222.727704
-10.0,98,228.424335
-10.0,111,234.859357
-10.0,92,240.26573
-10.0,130,247.96494
-10.0,151,256.743851
-10.0,119,263.606951
-10.0,154,273.208644
-10.0,139,281.338879
-10.0,127,288.813426
-10.0,115,295.609354
-10.0,129,303.322508
-10.0,93,308.728659
-10.0,143,317.104288
-10.0,161,327.066993
-10.0,132,334.734837
-10.0,130,342.298957
-10.0,147,350.856375
-10.0,143,359.291105
-10.0,178,370.155977
-10.0,123,377.585401
-10.0,177,388.826876
-10.0,129,396.268723
-10.0,143,404.648321
-10.0,99,410.454262
-10.0,103,416.338876
-10.0,137,424.149028
-10.0,175,434.155835
-10.0,147,442.489358
-10.0,104,448.806758
-10.0,108,454.904502
-10.0,126,461.945897
-10.0,129,469.184083
-10.0,119,475.90133
-10.0,115,482.473708
-10.0,97,487.887527
-10.0,148,496.275839
-10.0,125,503.262828
-10.0,151,512.243275
-10.0,140,520.143385
-10.0,140,527.900005
-10.0,82,532.585838
-10.0,113,538.851522
-10.0,126,545.931675
-10.0,131,553.244198
-10.0,86,558.151786
-10.0,181,568.744051
-10.0,163,577.915967
-10.0,108,584.038859
-10.0,148,592.369387
-10.0,142,600.412222
-10.0,133,607.862941
-10.0,108,614.005248
-10.0,104,619.838054
-10.0,122,627.256649
-10.0,112,633.585781
-10.0,121,640.473304
-10.0,150,648.954644
-10.0,150,657.522862
-10.0,130,664.957215
-10.0,91,670.045765
-10.0,117,676.617719
-10.0,132,684.591857
-10.0,84,689.327277
-10.0,136,697.002873
-10.0,136,704.679669
-10.0,162,713.794919
-10.0,98,719.377089
-10.0,113,725.685424
-10.0,120,732.520676
-10.0,165,742.249695
-10.0,161,751.386065
-10.0,127,758.57578
-10.0,84,763.268708
-10.0,137,770.94821
-10.0,148,779.249077
-10.0,132,786.694814
-10.0,166,796.479244
-10.0,146,804.742219
-10.0,128,812.032717
-10.0,114,818.429965
-10.0,141,826.426092
-10.0,102,832.1509
-10.0,141,840.135385
-10.0,94,845.382549
-10.0,136,853.071752
-10.0,136,861.188395
-10.0,128,868.498386
-10.0,108,874.524525
-10.0,98,880.070348
-10.0,116,886.534405
-10.0,159,895.453401
-10.0,112,901.642545
-10.0,101,907.401517
-10.0,128,915.26841
-10.0,122,922.25462
-10.0,164,932.047109
-10.0,127,939.282366
-10.0,98,945.512744
-10.0,191,7942.015332
-10.0,93,7950.107178
-10.0,87,7964.859118
-10.0,120,7977.307494
-10.0,113,7989.881937
-10.0,103,32136.082416
-10.0,240,32158.339016
-10.0,139,32169.191556
-10.0,128,32178.703528
-10.0,125,32187.956055
-10.0,123,32197.908735
-10.0,116,32207.374917
