#{"t_start": 1784706630.044456, "env_id": "None"}
r,l,t
-2.871468,28,0.495454
2.39685,15,0.751978
25.315944,22,1.226427
20.760484,16,1.562446
-13.437463,17,1.867968
-8.14675,13,2.06557
-8.808721,13,2.333111
-10.227784,14,2.582643
5.538614,21,2.958996
17.112451,14,3.19821
21.670625,20,3.648918
11.301369,14,3.882864
12.839635,12,4.078433
1.676493,38,4.772824
1.28557,17,5.07796
3.2621,10,5.283784
4.690711,7,5.402495
9.775932,12,5.642989
2.665546,30,6.194394
-4.293188,23,6.604548
-1.348602,12,6.817557
-8.038672,38,7.63757
3.573642,6,7.763974
0.588463,23,8.277722
19.12546,18,8.665013
1.44695,7,8.809958
-3.514869,15,9.172184
22.155745,35,9.873728
-0.876325,10,10.055816
6.925861,37,10.855181
-2.227795,30,11.482864
8.289333,13,11.747032
6.183541,10,11.962406
8.558039,20,12.369601
27.458876,25,12.856539
8.21199,10,13.035639
10.291946,22,13.503149
2.737353,12,13.763917
15.606925,22,14.257247
16.049154,19,14.684644
5.741966,17,15.064012
-0.690745,14,15.380598
23.288829,26,16.011445
-7.678595,22,16.382538
0.757703,6,16.473665
4.446586,8,16.587477
1.861928,10,16.740516
3.174947,6,16.840382
14.877666,11,17.078042
13.494597,27,17.693884
2.289323,10,17.902727
18.793845,22,18.397027
6.380166,9,18.566322
3.881973,8,18.704413
2.731373,19,19.04216
4.771621,8,19.21163
-5.294597,17,19.571429
4.583199,9,19.732263
9.608688,13,19.946326
16.593541,18,20.274696
-0.256626,10,21.640878
16.533904,36,22.255038
44.955929,34,22.808098
15.048249,13,23.042233
0.898805,11,23.27917
15.81433,21,23.676987
15.040081,14,23.916387
13.001599,19,24.294806
17.771163,16,24.596055
2.345402,8,24.750554
7.852724,13,24.978124
20.661391,23,25.505445
18.335424,13,25.689433
20.095442,14,25.902188
-7.732019,71,27.100219
0.879759,7,27.208735
35.577473,46,28.199545
29.532789,37,28.99244
13.536348,34,29.642077
23.648475,24,30.09123
22.027067,70,31.54136
7.603331,35,32.3103
4.919533,8,32.456366
21.955078,26,32.855324
3.579127,7,32.96226
40.07087,48,33.888475
17.341125,17,34.210308
17.189747,13,34.411618
22.244206,33,35.105624
9.464095,24,35.61248
12.663844,13,35.815005
15.52029,14,36.045232
3.169076,7,36.165775
3.222161,7,36.301138
3.397552,6,36.402222
4.119909,7,36.51331
18.393732,38,37.168963
14.737338,16,37.524909
4.916335,16,37.783123
3.20338,6,37.863223
1.205507,11,38.035017
18.134972,41,38.838706
6.821663,57,39.944533
22.813139,17,40.247492
23.714554,28,42.116423
34.02285,41,42.839902
5.263426,11,43.01121
4.532801,7,43.132356
5.947184,11,43.338638
4.458592,10,43.516436
34.503921,44,44.498973
29.36448,42,45.339416
5.289643,18,45.710017
-0.089928,23,46.195047
14.993349,15,46.52655
5.83923,12,46.770853
21.725207,15,47.065176
9.037338,11,47.238105
-0.77738,24,47.693475
9.687685,15,47.979396
0.405715,17,48.293504
37.67717,27,48.804085
24.959381,25,49.385665
-2.768955,26,49.948084
3.402909,6,50.067498
0.000747,15,50.389039
20.103638,19,50.779863
34.917915,37,51.58841
-5.333283,25,52.116202
30.782646,80,54.022792
-12.645321,17,54.335105
1.328503,9,54.513094
1.764266,10,54.695271
38.898518,70,56.001654
19.090982,25,56.495588
27.816748,51,57.403367
14.372551,43,58.226368
1.730982,8,58.343988
22.080949,16,58.588589
13.882831,23,58.963158
8.119563,10,59.12288
2.247632,9,59.260451
10.950678,16,59.528224
-13.424847,22,59.902407
0.803761,37,60.551988
18.634042,29,61.059249
12.309954,40,61.758889
0.016768,28,63.519281
-11.089528,41,64.283108
23.373142,34,64.872859
12.302493,25,65.413704
-2.645533,23,65.872023
7.288591,22,66.408749
13.949488,16,66.735348
28.197975,35,67.449914
7.385712,11,67.64354
30.631978,40,68.420048
39.955631,56,69.363557
35.883766,31,69.901687
12.945492,28,70.414294
34.816585,58,71.475096
6.343661,38,72.164857
4.760967,10,72.334823
-5.407726,21,72.6832
1.419819,10,72.868287
12.709098,44,73.671609
51.486237,69,74.894699
5.811692,9,75.025349
3.773576,7,75.138497
28.340687,18,75.451601
20.514832,28,75.945312
3.299618,7,76.06116
26.585116,26,76.515686
2.929471,9,76.648249
1.318716,8,76.764801
3.60321,8,76.882364
4.284505,10,77.033396
4.088704,7,77.138958
1.615671,3,77.187706
15.668244,21,77.539805
19.549177,19,77.86625
16.451506,41,78.749805
31.034317,32,79.367993
2.497525,10,79.579947
4.935683,18,80.147912
3.898818,8,80.380344
-1.452279,12,80.680717
6.170965,10,80.946799
30.242016,57,82.489701
